event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold_before_promo,quantity_sold_after_promo
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82
32efe6,STVSK-3,CAMP_SAN_01,P08,1190,BOGOF,30,81
d834f0,STMYS-3,CAMP_SAN_01,P08,1190,BOGOF,34,147
b00eeb,STCHE-0,CAMP_SAN_01,P08,1190,BOGOF,51,196
6436da,STMDU-1,CAMP_SAN_01,P08,1190,BOGOF,30,118
57576d,STBLR-5,CAMP_SAN_01,P08,1190,BOGOF,49,194
c381ea,STMLR-1,CAMP_SAN_01,P08,1190,BOGOF,27,106
a0d919,STMDU-1,CAMP_DIW_01,P08,1190,BOGOF,35,122
cf734f,STHYD-4,CAMP_SAN_01,P08,1190,BOGOF,51,203
8cbaa3,STHYD-2,CAMP_SAN_01,P08,1190,BOGOF,60,238
34a266,STMLR-0,CAMP_DIW_01,P08,1190,BOGOF,24,70
e39703,STBLR-9,CAMP_DIW_01,P08,1190,BOGOF,47,163
ca1e8f,STHYD-1,CAMP_DIW_01,P08,1190,BOGOF,54,167
e8aca2,STCBE-4,CAMP_DIW_01,P08,1190,BOGOF,40,119
c99d18,STCHE-7,CAMP_DIW_01,P08,1190,BOGOF,54,218
4f255c,STHYD-1,CAMP_SAN_01,P08,1190,BOGOF,52,134
5aa413,STCHE-1,CAMP_SAN_01,P08,1190,BOGOF,43,109
14f1e9,STBLR-4,CAMP_DIW_01,P08,1190,BOGOF,49,163
1f5ed3,STVSK-1,CAMP_SAN_01,P08,1190,BOGOF,33,131
333b7d,STHYD-6,CAMP_DIW_01,P08,1190,BOGOF,49,166
6.88E+10,STVJD-0,CAMP_SAN_01,P08,1190,BOGOF,22,88
41b8f8,STBLR-0,CAMP_DIW_01,P08,1190,BOGOF,56,220
a9ee19,STBLR-1,CAMP_SAN_01,P08,1190,BOGOF,58,158
a55960,STBLR-1,CAMP_DIW_01,P08,1190,BOGOF,50,149
aac58d,STBLR-6,CAMP_DIW_01,P08,1190,BOGOF,52,204
99482c,STBLR-8,CAMP_SAN_01,P08,1190,BOGOF,42,161
f8e037,STHYD-2,CAMP_DIW_01,P08,1190,BOGOF,52,175
17537,STMDU-2,CAMP_SAN_01,P08,1190,BOGOF,33,129
9.33E+11,STBLR-3,CAMP_SAN_01,P08,1190,BOGOF,40,154
5f2c41,STCHE-6,CAMP_DIW_01,P08,1190,BOGOF,54,185
66050c,STCHE-6,CAMP_SAN_01,P08,1190,BOGOF,60,238
d3f755,STCBE-1,CAMP_SAN_01,P08,1190,BOGOF,43,171
3c3c49,STCBE-2,CAMP_SAN_01,P08,1190,BOGOF,40,168
3.56E+10,STMDU-3,CAMP_SAN_01,P08,1190,BOGOF,36,145
17df71,STHYD-0,CAMP_SAN_01,P08,1190,BOGOF,46,179
342d35,STCBE-3,CAMP_DIW_01,P08,1190,BOGOF,29,96
d88318,STCHE-5,CAMP_DIW_01,P08,1190,BOGOF,45,149
fc2170,STCBE-3,CAMP_SAN_01,P08,1190,BOGOF,40,158
c4dae9,STHYD-0,CAMP_DIW_01,P08,1190,BOGOF,52,180
5c6465,STHYD-5,CAMP_SAN_01,P08,1190,BOGOF,36,139
fc8d10,STMLR-0,CAMP_SAN_01,P08,1190,BOGOF,27,70
e98f37,STBLR-3,CAMP_DIW_01,P08,1190,BOGOF,43,145
c32fcd,STHYD-3,CAMP_SAN_01,P08,1190,BOGOF,73,192
d3d574,STMLR-2,CAMP_SAN_01,P08,1190,BOGOF,16,63
457639,STCHE-4,CAMP_SAN_01,P08,1190,BOGOF,54,222
417902,STMDU-0,CAMP_DIW_01,P08,1190,BOGOF,29,116
380a4f,STCHE-1,CAMP_DIW_01,P08,1190,BOGOF,45,137
8c13bb,STBLR-5,CAMP_DIW_01,P08,1190,BOGOF,47,159
e5db3d,STCBE-0,CAMP_DIW_01,P08,1190,BOGOF,29,98
0c0926,STMDU-3,CAMP_DIW_01,P08,1190,BOGOF,26,91
4ca50a,STHYD-3,CAMP_DIW_01,P08,1190,BOGOF,50,156
cf0ccd,STVSK-1,CAMP_DIW_01,P08,1190,BOGOF,35,117
68c31e,STBLR-7,CAMP_SAN_01,P08,1190,BOGOF,54,235
1cfaa8,STBLR-2,CAMP_SAN_01,P08,1190,BOGOF,43,166
6.20E+94,STMYS-0,CAMP_SAN_01,P08,1190,BOGOF,48,129
8a219d,STBLR-8,CAMP_DIW_01,P08,1190,BOGOF,64,218
8f9cc5,STMLR-1,CAMP_DIW_01,P08,1190,BOGOF,29,100
d58c29,STVSK-2,CAMP_SAN_01,P08,1190,BOGOF,27,107
3d8361,STMYS-1,CAMP_DIW_01,P08,1190,BOGOF,47,184
d0356d,STCHE-0,CAMP_DIW_01,P08,1190,BOGOF,45,152
60170c,STHYD-4,CAMP_DIW_01,P08,1190,BOGOF,63,208
4a42f9,STBLR-7,CAMP_DIW_01,P08,1190,BOGOF,49,186
c16abb,STCHE-7,CAMP_SAN_01,P08,1190,BOGOF,42,186
8.31E+08,STCBE-2,CAMP_DIW_01,P08,1190,BOGOF,33,129
0894b7,STCHE-3,CAMP_SAN_01,P08,1190,BOGOF,46,203
e23132,STVJD-0,CAMP_DIW_01,P08,1190,BOGOF,26,86
d76198,STCHE-4,CAMP_DIW_01,P08,1190,BOGOF,54,213
0b38d9,STMYS-3,CAMP_DIW_01,P08,1190,BOGOF,29,115
f94f2f,STTRV-1,CAMP_DIW_01,P08,1190,BOGOF,28,92
8e6e77,STBLR-0,CAMP_SAN_01,P08,1190,BOGOF,37,156
63a2d2,STCHE-3,CAMP_DIW_01,P08,1190,BOGOF,47,186
bb83e5,STMDU-2,CAMP_DIW_01,P08,1190,BOGOF,40,133
29411f,STBLR-6,CAMP_SAN_01,P08,1190,BOGOF,69,303
7d89b1,STVSK-3,CAMP_DIW_01,P08,1190,BOGOF,45,138
fc7056,STBLR-2,CAMP_DIW_01,P08,1190,BOGOF,40,135
092c09,STHYD-5,CAMP_DIW_01,P08,1190,BOGOF,43,147
fd5855,STVSK-4,CAMP_SAN_01,P08,1190,BOGOF,25,64
c3b647,STCHE-5,CAMP_SAN_01,P08,1190,BOGOF,64,256
9d63a7,STHYD-6,CAMP_SAN_01,P08,1190,BOGOF,43,166
fc9ab7,STCBE-1,CAMP_DIW_01,P08,1190,BOGOF,40,140
4f75fe,STMYS-2,CAMP_DIW_01,P08,1190,BOGOF,42,123
40baa1,STCBE-0,CAMP_SAN_01,P08,1190,BOGOF,42,167
4fc1b2,STCHE-2,CAMP_DIW_01,P08,1190,BOGOF,47,165
69a3d2,STTRV-1,CAMP_SAN_01,P08,1190,BOGOF,24,92
886ef2,STMLR-2,CAMP_DIW_01,P08,1190,BOGOF,22,73
e2c5f7,STTRV-0,CAMP_DIW_01,P08,1190,BOGOF,31,102
583386,STBLR-9,CAMP_SAN_01,P08,1190,BOGOF,63,254
716abd,STMYS-1,CAMP_SAN_01,P08,1190,BOGOF,54,238
e17280,STVSK-2,CAMP_DIW_01,P08,1190,BOGOF,38,129
fc3573,STMYS-2,CAMP_SAN_01,P08,1190,BOGOF,61,163
85e08f,STVSK-4,CAMP_DIW_01,P08,1190,BOGOF,50,152
80be79,STBLR-4,CAMP_SAN_01,P08,1190,BOGOF,39,156
dc23bb,STVSK-0,CAMP_DIW_01,P08,1190,BOGOF,42,145
7bb8ed,STCHE-2,CAMP_SAN_01,P08,1190,BOGOF,45,175
fb2c04,STVSK-0,CAMP_SAN_01,P08,1190,BOGOF,28,108
04f19c,STMYS-0,CAMP_DIW_01,P08,1190,BOGOF,50,146
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111
57a7bc,STHYD-5,CAMP_SAN_01,P14,1020,BOGOF,100,391
582098,STMYS-1,CAMP_SAN_01,P14,1020,BOGOF,109,453
71a7a0,STCHE-6,CAMP_DIW_01,P14,1020,BOGOF,59,195
7b187a,STVSK-1,CAMP_SAN_01,P14,1020,BOGOF,82,322
345b49,STMDU-2,CAMP_SAN_01,P14,1020,BOGOF,76,300
413f48,STVSK-0,CAMP_SAN_01,P14,1020,BOGOF,61,234
7014a8,STBLR-8,CAMP_SAN_01,P14,1020,BOGOF,97,385
61b929,STVSK-2,CAMP_DIW_01,P14,1020,BOGOF,33,109
d2b963,STVJD-0,CAMP_SAN_01,P14,1020,BOGOF,48,187
2e3393,STCHE-3,CAMP_SAN_01,P14,1020,BOGOF,112,460
4b3df6,STTRV-1,CAMP_SAN_01,P14,1020,BOGOF,61,234
c48008,STBLR-2,CAMP_DIW_01,P14,1020,BOGOF,47,162
a37f93,STVSK-3,CAMP_DIW_01,P14,1020,BOGOF,38,117
38b760,STMDU-0,CAMP_DIW_01,P14,1020,BOGOF,33,126
6c7601,STCBE-2,CAMP_SAN_01,P14,1020,BOGOF,78,334
f1b7e9,STCHE-3,CAMP_DIW_01,P14,1020,BOGOF,52,211
2b0db4,STMLR-2,CAMP_DIW_01,P14,1020,BOGOF,21,73
27bc6e,STCBE-2,CAMP_DIW_01,P14,1020,BOGOF,42,160
fc376a,STHYD-0,CAMP_SAN_01,P14,1020,BOGOF,106,422
d6ff76,STMDU-2,CAMP_DIW_01,P14,1020,BOGOF,28,96
361cfb,STMLR-0,CAMP_DIW_01,P14,1020,BOGOF,22,69
e7bdad,STMLR-1,CAMP_DIW_01,P14,1020,BOGOF,24,80
2db607,STCBE-1,CAMP_DIW_01,P14,1020,BOGOF,40,136
b78191,STBLR-3,CAMP_SAN_01,P14,1020,BOGOF,91,361
7b1d41,STMYS-2,CAMP_DIW_01,P14,1020,BOGOF,43,125
d78c78,STCHE-0,CAMP_DIW_01,P14,1020,BOGOF,52,182
e12c11,STCHE-1,CAMP_SAN_01,P14,1020,BOGOF,112,294
177b80,STMLR-0,CAMP_SAN_01,P14,1020,BOGOF,37,96
ef6d6d,STBLR-2,CAMP_SAN_01,P14,1020,BOGOF,88,346
6bbadf,STHYD-1,CAMP_DIW_01,P14,1020,BOGOF,43,127
c5f80e,STCHE-1,CAMP_DIW_01,P14,1020,BOGOF,43,125
333ef0,STHYD-0,CAMP_DIW_01,P14,1020,BOGOF,47,163
5a6ad7,STBLR-9,CAMP_DIW_01,P14,1020,BOGOF,45,153
06c981,STHYD-2,CAMP_DIW_01,P14,1020,BOGOF,42,139
4ca177,STVSK-4,CAMP_SAN_01,P14,1020,BOGOF,75,198
f8b215,STBLR-4,CAMP_DIW_01,P14,1020,BOGOF,40,138
e2f806,STMDU-1,CAMP_DIW_01,P14,1020,BOGOF,36,126
716a3b,STCHE-5,CAMP_SAN_01,P14,1020,BOGOF,130,514
86206,STHYD-1,CAMP_SAN_01,P14,1020,BOGOF,102,279
420258,STVSK-3,CAMP_SAN_01,P14,1020,BOGOF,54,137
642b50,STMYS-1,CAMP_DIW_01,P14,1020,BOGOF,36,145
ac0b1c,STMYS-3,CAMP_SAN_01,P14,1020,BOGOF,78,331
7.83E+87,STMDU-3,CAMP_DIW_01,P14,1020,BOGOF,31,108
e74698,STBLR-5,CAMP_DIW_01,P14,1020,BOGOF,43,144
ce3c11,STHYD-4,CAMP_DIW_01,P14,1020,BOGOF,52,176
3080c6,STVSK-4,CAMP_DIW_01,P14,1020,BOGOF,38,114
2b8abd,STCHE-2,CAMP_SAN_01,P14,1020,BOGOF,105,407
5.00E+300,STVJD-1,CAMP_DIW_01,P14,1020,BOGOF,24,80
686a37,STBLR-0,CAMP_SAN_01,P14,1020,BOGOF,85,350
cb43c4,STCHE-0,CAMP_SAN_01,P14,1020,BOGOF,106,424
f9d2c6,STBLR-9,CAMP_SAN_01,P14,1020,BOGOF,111,429
f013a9,STMYS-2,CAMP_SAN_01,P14,1020,BOGOF,105,276
bea96f,STVSK-2,CAMP_SAN_01,P14,1020,BOGOF,64,250
a9d059,STCHE-7,CAMP_DIW_01,P14,1020,BOGOF,50,202
1c7c7f,STBLR-8,CAMP_DIW_01,P14,1020,BOGOF,52,178
cfeac1,STHYD-6,CAMP_SAN_01,P14,1020,BOGOF,100,396
d0daaa,STMDU-1,CAMP_SAN_01,P14,1020,BOGOF,63,244
4858ab,STBLR-7,CAMP_SAN_01,P14,1020,BOGOF,124,514
bf49bf,STCHE-4,CAMP_SAN_01,P14,1020,BOGOF,111,473
5bc324,STTRV-1,CAMP_DIW_01,P14,1020,BOGOF,19,66
c3b511,STCBE-3,CAMP_SAN_01,P14,1020,BOGOF,75,297
be3489,STHYD-3,CAMP_DIW_01,P14,1020,BOGOF,38,119
a6276f,STCHE-4,CAMP_DIW_01,P14,1020,BOGOF,56,224
da99ec,STCHE-5,CAMP_DIW_01,P14,1020,BOGOF,54,184
